Input,Output
"""/ -9 5 3 -1 5 5""",0.02
"""* 8 -2 9""",-144
"""/ 6 -7""",-0.86
"""- 7""",7
"""/ -6 0 2""",null
"""+ 8 -7""",1
"""- -5 3 4 6 -3 -7 5 -4""",-9
"""/ 2 6 -6 5""",-0.01
"""* -1 7 2 7 -5 3 1 3""",4410
"""- -4 5""",-9
"""/ -1 4 -1 1 1 -8 4 -7""",0.0
"""- -4 7 3 -9 -8""",3
"""* 3 -8""",-24
"""- -5 3 8 -6 1 -2 0 -3""",-6
"""/ -1 -4 9 -8 -1""",0.0
"""/ 0 -4 -3 -1 -9 -4 -7""",0.0
"""+ -2 -6 -8 8 1 1 -1 3""",-4
"""/ -2 -7 -7 5 -1 5""",0.0
"""* -4 -9 0 4 2 8""",0
"""- -5""",-5
"""/ 2 -1 1 -9 -5""",-0.04
"""- 6 9 -7 -6 2 -2""",10
"""/ -9 -6 -2 6""",-0.12
"""- 8 0 7 1""",0
"""/ 1 -5 0 0 -4 -1 -9 6 -3""",null
"""* -9""",-9
"""/ -7 -7 -5 -1""",0.2
"""/ -1 -3 -5 8""",-0.01
"""+ 9 -2 3 2 -6 6 9 8""",29
"""/ 0""",0
"""* 0 -4 8 5""",0
"""- 8 -6""",14
"""- 8 -3 -9 -5""",25
"""- 7 9 7 -7 8 -3 3""",-10
"""* -8 2 -6""",96
"""+ -2""",-2
"""/ -1 4 1 -4 7 -8 7 4""",-0.0
"""/ -1""",-1
"""* -3""",-3
"""+ 0 2 -3 -1""",-2
"""/ 1 -6 3 -4 -6 -7 -7""",-0.0
"""* 1 -1""",-1
"""* 5 1 -3 -6 -9""",-810
"""* -9 1 -3""",27
"""- -8""",-8
"""* 6 -2 -7 2 0 -7 -1 -5 -7""",0
"""- 4 8""",-4
"""/ -3 8 -2 8""",0.02
"""/ -5 4 3 5 -5 7""",0.0
"""* -4 3""",-12
"""+ -8 7 -5 7 -3 2""",0
"""/ -4 -3 -5 1 0 6 1""",null
"""* 6 -5""",-30
"""+ -5 0 -3 6""",-2
"""+ 7 -2 -2 8 6 5""",22
"""* 7 -6 2 9 5 6""",-22680
"""/ -9""",-9
"""- 5 9 0 -7""",3
"""+ -6 8 -5 -1 8""",4
"""/ 6 -3""",-2.0
"""+ -7 7 -9 9 -4""",-4
"""* 5 1""",5
"""/ 6 6 9 -6 -1""",0.02
"""- 6 4""",2
"""/ -5""",-5
"""* 6 7 -9""",-378
"""- 1 -3 -4 -1 9""",0
"""* 2 -3 -8""",48
"""+ -5 5 0 -9 -4 -3""",-16
"""+ 7 2 7 -8""",8
"""* 8 5""",40
"""- 6 5 9 3""",-11
"""* -4 6 2 7 4""",-1344
"""+ 8 9 2 5 6 9""",39
"""+ -9 2""",-7
"""* -1 5 9 6 -1 -9 5""",-12150
"""/ 1 1 -8 2 -8 -5""",-0.0
"""- 9 7""",2
"""/ -2 4 -6""",0.08
"""+ 3 8 -4 -3 -6 -1 0 -4 6""",-1
"""/ -4""",-4
"""+ -6 -7 6 -6 0 -8 -7""",-28
"""+ 3 7 -6 3 -3 4 6 1""",15
"""/ 0""",0
"""+ -6""",-6
"""* 2 4 6 -4 -6""",1152
"""/ -5 -9 5 -4 8 -5""",0.0
"""- 7 -6 5 -7 3 5 8 7""",-8
"""/ 9 -7 -3""",0.43
"""/ 5 -8 -2 6""",0.05
"""* -9 -2""",18
"""/ 5 4 -6 -2 0 5 -6 -5 7""",null
"""- 0 0 8 3 -4""",-7
"""+ 3 -5 -6 -4 -4 -1 -5 -8""",-30
"""/ 0 6 -2 -2 6 -8 -9 7""",0.0
"""- -3""",-3
"""/ 9 6""",1.5
"""/ 2 -4 7 5 -8 -9 -2 -3 -9""",0.0
"""/ 7 6 5 -5 -7 -4""",-0.0
"""/ 8 -6 -4 9""",0.04
"""+ -5 -5 -3 9 -6 1 4 1""",-4
"""/ -7 -4 -6 4 -9 -6 2 -8""",0.0
"""* 2 -7 -6 2 8 3 -8""",-32256
"""- 8 -1 -5 2 -2 -8""",22
"""* -2 -6 -3 4 9""",-1296
"""/ 1 0 6 9""",null
"""- -9 -8 -7 1""",5
"""/ 9 -3 2 -2 -5 -1 -4""",-0.04
"""/ 5 5""",1.0
"""- -9 4 5 -1 -1 7 6 4 -8""",-25
"""* 9 -3 8 -9 4 -3 -2 0 -4""",0
"""/ 1 7 7 6 -9""",-0.0
"""* 0 1 8 -8 -1 9 -9 -6""",0
"""+ 5 2""",7
"""* 7 8 4 -1""",-224
"""+ -5 1 -2 1 7 -7 -6 -2 8""",-5
"""/ 6 -3 4 5 3 -5 -6 -8""",0.0
"""* 3 0 -1 -2 -5 2 -7 -4""",0
"""+ 5 -1 9""",13
"""/ 3 2 1 -9 2 -1 2 3 3""",0.0
"""- -1 4 -6 -1 0""",2
"""+ -6 9 7 -2 -1 -4""",3
"""- -7 2""",-9
"""/ -2""",-2
"""* 7 3 -6 7 4 -7 0""",0
"""/ 7 5""",1.4
"""- -1 -7 6 0 8 0 -8 5 0""",-5
"""* -3 -5 -4 4 4 7 -3 0""",0
"""+ 2 -1 -7 7 -9 -7""",-15
"""/ -1""",-1
"""+ 7 -2 7 4 0""",16
"""/ 5 -7 9 -9 5 4""",0.0
"""- -2 -6""",4
"""* -1""",-1
"""/ -2 2""",-1.0
"""- 3""",3
"""- 1 -1 -8 -7 1 -2 0 0 -2""",20
"""- 2 -6""",8
"""* -1 -7 0 -7 4 -4 -3 -1 2""",0
"""- -1 -5 9 0 -6 2""",-1
"""* -6 -4 8 1 -4 -6 7""",32256
"""/ -3""",-3
"""/ 1 -9 -4 0 7 -5 1 -6""",null
"""+ 0 -6 5 -1 9""",7
"""+ -9 -8 -6 3 2 -9 5 7 2""",-13
"""- 6 1 -6 6""",5
"""* -5 -9 0 -6 -2 -6 -8""",0
"""+ -4 -1 7 -7 -9 2 -2 -6""",-20
"""/ 3 3 3 4""",0.08
"""* 5 7""",35
"""* 6 8 3 0 6 6""",0
"""- -3 -5 -9 -9 -9 -1 7 -1""",24
"""/ 1 5 -9 -6 0 -5 0""",null
"""+ 0 4 -5 1 -5""",-5
"""/ -1 -7 0 4 -3 4""",null
"""/ -3 8 8 3 -8 9 3 2 7""",0.0
"""+ 8 6 6 -8 -2 8 -6 -8 3""",7
"""/ -2 -8 5 -6 9 7 6 -7""",0.0
"""+ -1 2 7 3 4 -6""",9
"""+ -4 -9 -8 -4 -3 2 -9 9 8""",-18
"""+ -4 8 1 -6""",-1
"""- 4 5 -2 -1 5""",-3
"""/ 6 3 -4 3 -2 -3""",-0.03
"""- 4 -7""",11
"""/ 3 -3 9 7 -9 2 -1""",-0.0
"""- -5 -1""",-4
"""* -6""",-6
"""/ 2""",2
"""/ 7 -8 6 -3 -3 3 1 4""",-0.0
"""- 1 9 2""",-10
"""- -5 7 0 -1 9 6 -4 0""",-22
"""* -5 -2""",10
"""- -9 5 -9 2""",-7
"""- 3 5 -9""",7
"""/ -4 5 -3 0 5 4 1 -1 -8""",null
"""- 8 7""",1
"""- -5 8 8 0 -9 -4 -6""",-2
"""* 2 -3 -8 8 -7 -6""",16128
"""/ -5""",-5
"""/ 7 4 7 4 4 -6""",-0.0
"""/ 5 -4 -4 3 8 -9""",-0.0
"""/ 0 -4 0 -1 6 0 -9""",null
"""* -9 4 4 -7 -9 -6 2 3 1""",326592
"""/ 3 9 7""",0.05
"""* 9""",9
"""+ -7 9 7""",9
"""/ 9 3 9 1 -5 -1 4 -7""",-0.0
"""+ 9 1 -3 5 7 6""",25
"""* -7 -1 -5""",-35
"""- -4 3""",-7
"""* 8 -7 -3 3 5""",2520
"""* 0 -7 -6 5 9""",0
"""+ 8""",8
"""* 9 -2 -3 7 -8 8""",-24192
"""/ 3 -1 5 3 3 -3""",0.02
"""* 5 -3 3""",-45
"""* -5 -8 -5 -9 3 -1 -6""",32400
"""/ 0 -1 9 -5""",0.0
"""- 3 4 -6 3 -1 9 7""",-13
"""- 5 -7 0 1 -6""",17
"""+ 4 -1 -5 2""",0
"""- 5""",5
"""* 2 5 5 -8 0 4 8 2""",0
"""/ 7 -5 -4""",0.35
"""/ -8 1 3 7 -4 6 -9 5""",-0.0
"""+ 0 3 0 4 -5 -2""",0
"""+ 2 -4 1""",-1
"""- 4""",4
"""* 9 -9 -3 -4 1 -1 0 -8 1""",0
"""/ 1 -8""",-0.12
"""* -1 2 -3 3 -6 1 3 1""",-324
"""- 6 1 7 -5""",3
"""/ -1 4 -6 7 3 -9 0 -1 -7""",null
"""- -2 -7 -5 -7 9 8 -2""",2
"""- 3 -5 -9 -3 -1""",21
"""/ 1""",1
"""* -1 5 5 -2 -9 0 2""",0
"""* 8""",8
"""+ -4 8 2 8 -6 -3 -4""",1
"""/ 7 1 -3 1 0 3 4 5""",null
"""* 1 -7 6 -4 6 7 5 5""",176400
"""- 2""",2
"""* -6 -2 -6 -4 0""",0
"""+ -4 5 1 -3 4 -9""",-6
"""+ 2 7 -5 -3""",1
"""- -8""",-8
"""- -4 -7 4 7""",-8
"""* -6 -4 6 2 -8 5 5 -9 5""",2592000
"""/ -2 -3 2 -3 6 -5 3 -9""",-0.0
"""- -5 8 6 -7 -7 -3 -4""",2
"""+ 9 1 8 3 -2""",19
"""+ -2 0 -6 7 1 9 -9 7 -1""",6
"""* 9 -5 3 -4 -7""",-3780
"""* 3 7 -4 1 -5""",420
"""- -3 8 8 4 -9 1 7 9""",-31
"""+ 0 -5 -4 -2 -6 -6""",-23
"""+ -1 -3 -9 -8 -4 3 -4""",-26
"""* 6 8 -1 3 -3 -8""",-3456
"""/ -2 0 6 -7 -9 5 1 8""",null
"""- 4 7 9 1 4 -1 -5 -2 2""",-11
"""* -1 7""",-7
"""- 9 -9 4 -7 -5 2 5 -7 -2""",28
"""- -5 4""",-9
"""- 4 3 -9 -6 6 -5 0 4 1""",10
"""* 6 8""",48
"""/ -3 -6 2 0 -1""",null
"""+ -6 -3 1""",-8
"""+ 5 -9 8 -1 -4 1""",0
"""* 1 5 9 0 5""",0
"""+ -9 -1 7 5 4 4 7 -1""",16
"""* -3 1""",-3
"""+ -6 6 8""",8
"""* 7""",7
"""- 1 -8""",9
"""/ 7 -6 4 -5 4 8 4 -8 -8""",0.0
"""* -8 -2 -9 7 -1 9 4 -6 2""",-435456
"""- 5""",5
"""* -5 4 7 -1 6""",840
"""+ 4 -8 -8""",-12
"""/ 3 7 2 0 2 5""",null
"""* -3 -9 6 6 7 7 -1 2 -5""",476280
"""* 4 -7 -2 -4 9 -5 1 -3""",-30240
"""* -5 -8 -2 5 -5 3 7 9""",378000
"""* 8 0 3 -3 2 -3 -8""",0
"""+ 4 -8 9 -4 -2 2 -1 0 5""",5
"""/ -7 -8 -3 2 -5 -6 -3 0 0""",null
"""- 9 5 7 4 -6""",-1
"""* -2 0 -6 4""",0
"""/ 6 -4 1 -9""",0.17
"""* -9 -7 -2 -8 6 -2""",-12096
"""* 0 -7 5 1 1 -7 6""",0
"""/ 9 3 6""",0.5
"""- -1 6 -4""",-3
"""+ 5 -7 -5""",-7
"""- -3 0 6""",-9
"""- -9 5 4 9 -9 6""",-24
"""- 3 -2 -2""",7
"""* 1 -9 -8 -9 9 7 5""",-204120
"""+ 8 2 -4 7""",13
"""* -8 -3""",24
"""* 8 -7""",-56
"""+ -6 -7 -2 -9 5 -9""",-28
"""/ 5""",5
"""+ 0 2 -9 2 -5 2""",-8
"""+ 9 -1 4 9 -5 0""",16
"""+ 0 -8 -7 -7 -8 -4 -1""",-35
"""* -2 -7""",14
"""* 7 -1 -3 -3 -5 -6 -1 0""",0
"""- -2 1""",-3
"""+ -2 2 -8 5 -8 1 1""",-9
"""+ 5 5 -3 -3 -5 2""",1
"""+ 4 0 -5 -1 -3 -5 4 9 5""",8
"""* -3 -9 -3 -3""",243
"""* -5 6 -3 -8 -3""",2160
"""* 8 3 -9 -9 -8 9 -7""",979776
"""- -2 1 6 -1 8""",-16
"""* -8 -7 -4 9 6""",-12096
"""* 9 -9 9 4 5 -7 4 -5 -9""",18370800
"""* 1""",1
"""- 1 -4 2 1""",2
"""/ -6 -6 -8""",-0.12
"""- 9 -6""",15
"""* 8 4 1 6 -9""",-1728
"""/ -5 7 6 9 8 -9""",0.0
"""- 3 -2 9""",-4
"""* -8 3 5 6""",-720
"""- 8 8 7 -3 8 9""",-21
"""/ 0 -2 -3 6 -2""",-0.0
"""* 7 -2 -1 -2 -3""",84
"""* -8 -9 -1 -3""",216
"""- 5 -2 -6""",13
"""* -7 -9 8 -2 -6""",6048
"""/ 8 -7 7 -4""",0.04
"""/ 8 -1 5 7 -9 -7""",-0.0
"""/ -8 1 5 -6 1 1""",0.27
"""/ 8 8""",1.0
"""* 7 -6 -8 2 1""",672
"""+ 4 -9""",-5
"""/ -1 6 -3 -7 1 -3""",0.0
"""- -5 -7 -4 0 7 5 -2 8""",-12
"""+ 2 5 -2 -5 4 3""",7
"""* 5 7 2 -7 -7 3""",10290
"""- -2 5 5 0 4 4""",-20
"""+ -1 -3 -8""",-12
"""/ 1""",1
"""* 4 -7 -7 6 8 6 4 9 4""",8128512
"""- -1 -2 4 -8""",5
"""- -3 3 3 8 -6 5 -9 -8""",1
"""/ -1""",-1
"""* -3 -6 4 -1 -7 5 -7 -4 6""",423360
"""* -1 0 -5 -6 5""",0
"""- -7 -4 1 8 -4 7 -9 -1""",-5
"""+ 1 3 5 8""",17
"""- 9""",9
"""/ 7 5""",1.4
"""+ -2""",-2
"""+ -3 5 -2 -1 -2""",-3
"""+ -5 -6 7 3""",-1
"""+ -2 -3 -3 5""",-3
"""/ 5 -7 9 -6 4 5 5""",0.0
"""+ 4 5 4 -1 -8""",4
"""* -3""",-3
"""- 1 8 6 4 8 0""",-25
"""+ 5 -8 8 2 -3 3 -1 -7 -7""",-8
"""- -5 -1 0 9 -4 9 7 -3""",-22
"""- 8 3 1 4 -1""",1
"""- -5 -9 -5 -3 -4""",16
"""* -6""",-6
"""- -2 -5 -7 3 7""",0
"""- -7 8 8 0 1 -5 -2 -6""",-11
"""/ -3 3 -1 2 -4 -4 0 -3""",null
"""- 3 3""",0
"""- -1 6 6 9 -3 -8 -6 -4""",-1
"""- -5 6 -8 -4 1 -5 5""",0
"""- 6 -4 -8""",18
"""* 0 4""",0
"""* -1 4 -7 9 5 -3""",-3780
"""/ -3 8 -4 -4 -1 -1""",-0.02
"""- 5 1 5 -9""",8
"""/ 4 -2 6 2 -9 -5 6 -6""",0.0
"""/ 8 0 -6 -1 8""",null
"""+ -1""",-1
"""+ 9 2 1""",12
"""/ -9 2 1 1""",-4.5
"""* -7 -5 3 -3 -4 2""",2520
"""- -4 -5 -6 8""",-1
"""* 1 3 1 8 7 2 -7""",-2352
"""- 9 -6""",15
"""* 5 5 3 -4 -4""",1200
"""- 7 -6 -8""",21
"""- 0 2 8 -3 7 2 -4 1""",-13
"""+ -6 -6 -4 3 -8 -6""",-27
"""* 7 6""",42
"""- 8 2 -8 3 5 -1 -1""",8
"""* -2 -3 5 9 5 5 9 7""",425250
"""+ -2 0 -8 -9 6 -6 3 6""",-10
"""/ 2 8 1 -5 3 1 2 -7""",0.0
"""/ -1 2 -7 9 -4 -4 3 0""",null
"""/ 8 -1 -9 5 4 9 -9 -3 -7""",-0.0
"""+ -2 -8 -6 -1 -9 -6""",-32
"""- 3 3 2 -7 6""",-1
"""+ 3 -2 6 3 -7 1 4""",8
"""+ 9 -6 -5 7 8 -8 -2""",3
"""/ 7 7 3 -3 5 6""",-0.0
"""- -2 -9 -3 -4 0 4 -9""",19
"""- -5 -6 -5 6""",0
"""- 4 -6 8 -7 -3 6 -2 0 -6""",14
"""+ -5 0 5 7 3 9""",19
"""- -9 -4 4""",-9
"""/ 0""",0
"""* -2 -6 -4""",-48
"""- 3""",3
"""* 8 -9""",-72
"""- -2 2 -1 2""",-5
"""+ -4""",-4
"""* -4""",-4
"""- 8""",8
"""/ 6 1 -3 1 -9 -6 -4 0""",null
"""/ 7 -4 -6 -3""",-0.1
"""* -4""",-4
"""- -1 4 -6 7""",-6
"""/ -3 -2 -5 8 6 6 7 9""",-0.0
"""- 6""",6
"""+ 1 -3 -3""",-5
"""+ 9 -8 2 1 6 -3 4 -6""",5
"""- -5 -6 -4 -8 -5""",18
"""* 6 -9""",-54
"""- 1 0 2 -9 -9""",17
"""/ -8 -6 -2""",-0.67
"""/ 9 3 -7 6""",-0.07
"""+ 1 -2 1 6 -3 9 -1""",11
"""- 2 9""",-7
"""* -8 0 -3""",0
"""- -9 0 -5 3""",-7
"""+ 7 -9 7""",5
"""+ -8 -4 -8 -1 -7 -7 -5""",-40
"""+ 4 1 4 -6 -3 -3 6 8""",11
"""+ 9 5 8 0 0 8""",30
"""+ 3 -6 -4 9 9 -6 -3 -4 2""",0
"""* 9 -5 -7 7""",2205
"""* 8 0 -3""",0
"""/ 4 2 4 0 -8 4""",null
"""- -3 -2 9 -1 -5""",-4
"""- 7 1""",6
"""* 1 -9 5""",-45
"""+ 2 2 -2 4 9 -4""",11
"""/ -8 -9 3 8 8 0""",null
"""/ -5 1 -4 9 6 5 -8 -8 -5""",-0.0
"""* -2 1""",-2
"""+ 3 5""",8
"""+ -5 -5 -4 -5 -7""",-26
"""+ -5 2 -9 4""",-8
"""* -3 1""",-3
"""+ 8 1 0 -7 -8 -2 -4""",-12
"""- -1 4""",-5
"""/ -4 -8""",0.5
"""* -9 -1""",9
"""* -2 -5 -4 3 -2""",240
"""/ -7""",-7
"""/ 5""",5
"""+ -7 8 1 4 -5 9 -8 -1 6""",7
"""+ -6 7 2""",3
"""/ -8 -7""",1.14
"""- -4 -7 2 0 -3 6 -3 0""",1
"""/ -4 -7 9 -4 -4 -1""",-0.0
"""/ -1 -4""",0.25
"""/ 2 6 0 9""",null
"""/ -8 -4 -4 -4 3""",0.04
"""- -9""",-9
"""/ -9 1 6""",-1.5
"""+ -7 7 0 4 3 4 7""",18
"""/ -4 5""",-0.8
"""* -1 -2 2 4 4 -5 -7""",2240
"""+ 9 -5 -1 -8 -1 -8 5""",-9
"""/ -1 -6""",0.17
"""- 3""",3
"""/ 3 4""",0.75
"""* -5 4 3 7 7 6""",-17640
"""- 2 2 0 1 -3 -2 -2""",6
"""+ 0 6 7 -1""",12
"""- -1 6 -6 0 -7 4""",2
"""* -9 4 2 -3 -8 -2 -4""",-13824
"""/ 3 -8 -2 2 -7""",-0.01
"""+ 7 0 2""",9
"""- -1 0 -8 -1""",8
"""* -3 4 5 8 -1 -9 8 -3 -4""",-414720
"""/ 6 6 -5 -7 6""",0.0
"""+ 5 5 4 -6""",8
"""/ -2 2 1 6 6 -9 -9 -7 0""",null
"""+ -2 -2 -9 -6 -6 -8 -2""",-35
"""+ -7 -8 -8""",-23
"""/ -6 6 0 7 8 5""",null
"""* -6 -7 5""",210
"""* -1 -1 1 -5 -2 8""",80
"""/ 1 -1 2 9 -3 1 -5 6""",-0.0
"""* -3 7 5 7 9""",-6615
"""* 8 -6 -4 5""",960
"""* 7 1 3 -8""",-168
"""+ -2 2 1 9 -8 -6 4""",0
"""/ 9""",9
"""/ 1 5 1 -6 -1 -8 -9 4""",0.0
"""- -1 -6 6 -4""",3
"""/ 1 -8 -2 4 -1""",-0.02
"""- 5 -3 1 7 8 7 4 8 -7""",-20
"""/ 8 -1 5 -5""",0.32
"""* 2 8 -7""",-112
"""/ -7 2 8 -9 -9 2 1 7""",-0.0
"""* 0""",0
"""+ -7 8 -3 5""",3
"""- -5 -9 -4 8 -9 3 5""",1
"""+ -1 -8 -5 7""",-7
"""+ 9 5 3 -2 -8 -5""",2
"""+ -4 1 -6""",-9
"""- -7 5 9 4 -1""",-24
"""+ 1 -1 2 -5 7 -3""",1
"""/ 9 6""",1.5
"""/ 6 -3 -6 -7 1 -2 -6 3""",-0.0
"""+ -8 9 4""",5
"""* -5""",-5
"""+ -7 -4 3 9 9 -5""",5
"""- 1""",1
"""+ -3 1 -5 -7 4 3 -1""",-8
"""+ 0 9 -8 -7""",-6
"""/ 4 -9 -3 3""",0.05
"""/ 0 -8 -1""",0.0
"""* 1 -6 -5 0 0 -1 4 -3""",0
"""/ -3 2 -7""",0.21
"""+ -7""",-7
"""- -4 -8 -7 9 -3 7 -8 -9""",15
"""- -2 -8 8 6 -4 -9 1""",4
"""+ -5""",-5
"""* 2 -8 -4 -6 0 7 0""",0
"""- 0""",0
"""/ 3 1 -3 -7 1""",0.14
"""+ -8 2 2 -3""",-7
"""+ 0""",0
"""- 8 -3 6 2 6 1 -1""",-3
"""* 0 2 -3 -2 6 4 -7 0""",0
"""* -2 -8 -5 2 8 2 3 -8""",61440
"""/ 5 1 -8 -3 9 -1 -6 3 -6""",-0.0
"""+ -3 7 -4 -9 -8 -5 9 0""",-13
"""- 1 4 2 9 -4 2""",-12
"""+ -1 4 -2 0 6 -2""",5
"""/ -3 -1 8 -3""",-0.12
"""- 2""",2
"""- -2 -6 -5 -2 0 -9""",20
"""/ -5 -6""",0.83
"""/ 5""",5
"""/ 3 5 3 -5 -1 -2""",-0.02
"""/ 6 -2 1 -4 -6 2 -2 -2 -6""",0.0
"""+ 8 7 -1 -2 -4""",8
"""- -2 9""",-11
"""* -3 8 6 -5 -6 4 3 -7 7""",2540160
"""* 9 1 7 -4 -5 6 -7 4""",-211680
"""+ -3 -2 -1 -1 8 -5 9 7""",12
"""- 6 0 -8""",14
"""- 9 0 -8 -5 9 -6""",19
"""/ -8 4 -8 9 -7""",-0.0
"""+ -3 2""",-1
"""+ -1 2 -7 -5 2 4 5 6 -4""",2
"""+ -7 -3 -7 6 6 -5 -5 4""",-11
"""+ 0 2 -5 -5 -3""",-11
"""/ 3 1 -6 1 -1 4 9 -4 4""",-0.0
"""- -1 7 -1 2 0 8 0 3""",-20
"""/ -5 -2 0 6 7 -9 -7 -4 1""",null
"""- 4 -7 1""",10
"""+ 2 3 4 4 -8""",5
"""+ 3 0 -8 1 3""",-1
"""+ -8 -1 -5 -6 0 1 7 6 8""",2
"""/ -7""",-7
"""+ 5 8 0 -3 -8 -3""",-1
"""* -7 4 -8 1 8 7""",12544
"""+ 0 7 7 -3 0 2 9 8 -7""",23
"""/ -9 2 1""",-4.5
"""- -9 5 0 8 1 7 -1""",-29
"""- -3 9 5 9 -8 -1""",-17
"""+ -5 -1 7""",1
"""/ -3 -7 6 -8 4 -6""",0.0
"""- -2""",-2
"""/ -5 2 -7 2 2 -2 3 5""",-0.0
"""+ 3 -4 6 4 -9""",0
"""* 1 6 -4 -9 -1 9 6 8""",-93312
"""* 2 -9 -5 -6 3 -1 -2""",-3240
"""+ 0 -9 5 -1 1 -3""",-7
"""* 5 -9 -7 2 -5 -8 -7""",-176400
"""- 7 7 -5 6""",-1
"""* -1 0""",0
"""/ 0 -5 -7 -6 -6 -7 2 8""",-0.0
"""* -1 1 3 -6 -3 1 4 9 0""",0
"""- -2 -4 -6 3 1 -9 6 -4 5""",6
"""/ 7 1 7 -4 2 2 7 0""",null
"""* -1 -9 2 -6 -3 -8 0 -4""",0
"""* 3 3 0""",0
"""+ 5 -8 8 -2 -7 -3 9""",2
"""/ 2 1 -5""",-0.4
"""* 5 4 -6 5""",-600
"""* -8 3 4 2 2 -3 0 0 8""",0
"""/ 8 -7 -9""",0.13
"""/ -9 3 3""",-1.0
"""+ 5 6""",11
"""/ -7 6 5 3 2 -7 -2""",-0.0
"""- -8 -3 -7 9""",-7
"""+ -8 7 -2 8 2 7""",14
"""+ -1 -8 2 6""",-1
"""- 5 -7""",12
"""- -6 -6 -6 4 -3 0""",5
"""/ 4 -2 6 -4""",0.08
"""- -7 -3 8 1 -4 -4 3""",-8
"""+ -2""",-2
"""* -1 2 8 -8 -4 0 -8 -1 6""",0
"""* 2 -4 4 5 2""",-320
"""- -8 -9 6 4""",-9
"""/ -9 -9 -2 7 6 1""",-0.01
"""* 6 -5 -2 6 -7 1 0""",0
"""* -8 6 8 -3 -2 3""",-6912
"""+ 2 -5 6 -9""",-6
"""- -3 3 -3 5 -9""",1
"""- -8 4 1 -9 4 -5 5 4""",-12
"""+ 0 1""",1
"""+ 0 -6 4 5 7""",10
"""/ -3 -7 8 9 9 -1 -6 -5""",-0.0
"""/ 8 -6 9 -7 -1 6""",-0.0
"""+ 1 8 -6 0 1 -1 7""",10
"""/ 5 6 1 -7 -9 4""",0.0
"""/ 5""",5
"""- 6 -3 2 7 3""",-3
"""* 8 6 -1 -8 7 -3 -7 -9""",-508032
"""* -2 4""",-8
"""/ 1 -3 8 -5 -1 -3 9""",0.0
"""+ 9""",9
"""+ 0 5 -6 7 -9""",-3
"""/ 5 1 -2 8""",-0.31
"""/ 0 6 0 6 0 2 -7 -4""",null
"""+ 5 6 4 8 1 -8 -2 9""",23
"""/ -4 -9 -3 -4 8""",0.0
"""* 5 7 -4 -6 2 1 -2 -4 -4""",-53760
"""* 3 6 1 5 -9""",-810
"""/ -9 -7 1 -7 3 -1 -9""",-0.01
"""- 4 0""",4
"""+ 7 -2 4 8 -3 3""",17
"""* -1 3 -3 5 -5 -4""",900
"""/ -4 -9 -6 -1 8 2 -3""",-0.0
"""- 2 -5 0 8""",-1
"""/ 6 9 2 2 2""",0.08
"""* -8 7 -2 -9 -1 8 -1""",-8064
"""- -9 6 2 -6""",-11
"""+ -5 -6 -3 3""",-11
"""+ -3 0 -1 3 -4 8 -2 -5""",-4
"""- -7 9 3 8 1""",-28
"""* -3 -1 -7 3 -4 -6 -8""",12096
"""- 6 0 -9 5 -3""",13
"""/ -9 5""",-1.8
"""/ 6 5 -7 -6 -8 -5 -6""",-0.0
"""/ 5 -4 -8""",0.16
"""- -1 -5""",4
"""* -6 0 8 3""",0
"""- -7 -7 9 9 6 4 -9 2 4""",-25
"""+ 5 -3""",2
"""* 9 2 1 -5 -7 -1 -2 -5""",-6300
"""/ 7 7 -8 4 -7 -3 5 -1 5""",0.0
"""* -6 8 -8 9""",3456
"""/ 8 4 -9""",-0.22
"""* -5 5""",-25
"""* 8 -4 9 4 -2 7 2""",32256
"""* 5 6 8 1 3 7 -4 2 -2""",80640
"""* 9 -3 -5 -3 9 7 -6 1 -9""",-1377810
"""/ -7 -8 0 -6""",null
"""/ 6 6""",1.0
"""* 8 4 2 6 5 -9""",-17280
"""- -7 -7 4 -9 3 3 1 3 1""",-6
"""/ -4 2 -8 -7 7""",-0.01
"""* 5 6 6 -4""",-720
"""+ -3 -9 0 7 7 -6 -9 4 -6""",-15
"""/ 7""",7
"""* 5 7 0 9 6""",0
"""/ 0 -7 5""",-0.0
"""- 1 -3 0""",4
"""/ 9 4""",2.25
"""/ 1 4 3 -2 -9 3""",0.0
"""* 5 1 7 3""",105
"""+ 6 -8""",-2
"""+ -9""",-9
"""* -6 -3 -1 0 -4""",0
"""* -8""",-8
"""/ 5 1 -4 -4 9 -7""",-0.0
"""+ -1 -1 -9 -1 -9 -3""",-24
"""* -1 -8 -5 4 8 -5 -8""",-51200
"""- -1""",-1
"""+ 1""",1
"""* 6""",6
"""- -4 9 -6 -6 -7""",6
"""+ -4 -6 5 6 -2 0 3 9""",11
"""/ -4 -6 8""",0.08
"""/ 9 0 9 -2""",null
"""+ -5 7 3 1 4""",10
"""- -5 4 -5 -2""",-2
"""- 1 7 -1 -6 7 -2 -3 -1 -1""",1
"""- 3 -6""",9
"""+ -6 -5 4 5 -8""",-10
"""- -6 6 -3 -9""",0
"""- -1 -2 0 -2 -1 8 -8 7 -8""",5
"""* -9 9 -7 1 8""",4536
"""* 5 -7""",-35
"""* -2 -2""",4
"""+ 4 -7 0 -5 8 -5 -9""",-14
"""/ 3 -4 -8 4 1 -4 -9""",0.0
"""/ -7 -6 9 3 5 3 8 6 -4""",-0.0
"""- 1 4 -3 -3 7""",-4
"""/ -7 7 -4""",0.25
"""- -3""",-3
